Date,White Pixel Count,Lake Area (sq meters),Outlier
2024-02-22,14286,65215.47147296137,False
2024-02-23,15728,71798.1895090789,False
2024-02-24,15400,70300.87223040585,False
2024-02-25,8075,36862.30800394198,True*
2024-02-26,10531,48073.927627176825,True*
2024-02-27,9315,42522.89771599866,True*
2024-03-05,16508,75358.88303763069,True*
2024-03-06,6717,30663.04927089758,False
2024-03-07,6901,31503.00774430021,False
2024-03-08,7609,34735.02187021745,False
2024-03-09,7529,34369.82253395573,False
2024-03-10,6819,31128.67842463165,False
2024-03-11,7841,35794.099945376445,False
2024-03-12,1147,5236.045483655561,True
2024-03-13,9518,43449.59103176278,True
2024-03-14,7173,32744.68548759105,False
2024-03-15,0,0.0,True
2024-03-16,4765,21752.18546610448,False
2024-03-17,4286,19565.554440235683,False
2024-03-18,1195,5455.165085412725,True
2024-03-19,4059,18529.301323592223,False
2024-03-20,4979,22729.093690605365,False
2024-03-21,7765,35447.16057592781,True
2024-03-22,5539,25285.489044439448,False
2024-03-23,2288,10444.701017091924,False
2024-03-24,4186,19109.055269908164,False
2024-03-25,2580,11777.678594448267,False
2024-03-26,5128,23409.277454393363,False
2024-03-27,2637,12037.883121534953,False
2024-03-28,2975,13580.850317241951,False
2024-03-29,4062,18542.996298702044,False
2024-03-30,8270,37752.481386079926,True
2024-03-31,9548,43586.54078286093,True
2024-04-01,4276,19519.90452320293,False
2024-04-02,8284,37816.39126992573,True
2024-04-03,5956,27189.09058470519,False
2024-04-04,4645,21204.386461711463,False
2024-04-05,5344,24395.3156623008,False
2024-04-06,1616,7377.026592491182,True
2024-04-07,7001,31959.506914627727,False
2024-04-08,6321,28855.312556400622,False
2024-04-09,5061,23103.423010273928,False
2024-04-10,4904,22386.71931285973,False
2024-04-11,3081,14064.73943778912,False
2024-04-13,3230,14744.92320157712,False
2024-04-14,4070,18579.51623232825,False
2024-04-15,2271,10367.096158136246,True
2024-04-16,8980,40993.6254954027,True
2024-04-17,6278,28659.01791315979,False
2024-04-18,5575,25449.82874575736,False
2024-04-19,4518,20624.63251539552,False
2024-04-20,4070,18579.51623232825,False
2024-04-21,3044,13895.83474476794,False
2024-04-22,2700,12325.477598841288,False
2024-04-23,3325,15178.59741338826,False
2024-04-24,6637,30297.84993463557,True
2024-04-25,574,2620.305237679418,True
2024-04-26,5895,26910.626090805406,True
2024-04-27,4284,19556.42445682913,False
2024-04-28,1060,4838.891205470701,True
2024-04-29,1695,7737.660937049847,False
2024-04-30,2824,12891.536570047409,False
2024-05-01,3619,16520.704974151155,False
2024-05-02,6417,29293.55175991504,True
2024-05-03,1286,5870.579330410681,False
2024-05-04,759,3464.8287027851534,False
2024-05-05,2579,11773.113602744994,False
2024-05-06,2447,11170.534697912672,False
2024-05-07,5,22.8249585163713,True
2024-05-08,3670,16753.519551018187,True
2024-05-09,1278,5834.059396784486,False
2024-05-10,3182,14525.803599819912,False
2024-05-11,4097,18702.77100831668,False
2024-05-12,2818,12864.146619827754,False
2024-05-13,5529,25239.8391274067,True
2024-05-14,3439,15699.006467561629,False
2024-05-15,2575,11754.853635931891,False
2024-05-16,4085,18647.991107877377,False
2024-05-17,5113,23340.80257884424,True
2024-05-18,3616,16507.00999904133,False
2024-05-19,853,3893.937922892933,True
2024-05-20,3269,14922.95787800485,False
2024-05-21,1970,8993.033655450425,False
2024-05-22,2686,12261.567714995435,False
2024-05-23,1940,8856.08390435217,False
2024-05-24,1687,7701.141003423653,False
2024-05-25,3999,18255.40182139572,False
2024-06-07,3062,13978.004595426894,False
2024-06-08,6225,28417.073352886207,True
2024-06-09,5636,25728.29323965714,True
2024-06-10,4993,22793.003574451217,False
2024-06-11,3627,16557.224907777356,True
2024-06-12,5074,23162.767902416505,False
2024-06-13,4556,20798.10220011997,False
2024-06-14,5557,25367.658895098404,False
2024-06-15,5991,27348.86529431982,True
2024-06-16,4248,19392.084755511227,False
2024-06-17,4438,20259.433179133503,False
2024-06-18,5051,23057.773093241176,False
2024-06-19,4162,18999.495469029564,True
2024-06-20,5423,24755.950006859533,False
2024-06-21,6202,28312.07854371088,False
2024-06-22,8410,38391.58022453794,True
2024-06-23,7751,35383.25069208201,False
2024-06-24,8072,36848.613028832166,True
2024-06-25,6728,30713.26417963361,False
2024-06-26,4475,20428.337872154687,True
2024-06-27,6889,31448.22784386091,False
2024-06-28,6222,28403.378377776386,False
2024-06-29,7860,35880.834787738604,True
2024-06-30,7506,34264.82772478049,False
2024-07-01,7363,33612.03391121266,False
2024-07-02,5410,24696.60511471696,False
2024-07-03,4199,19168.400162050744,True
2024-07-04,8812,40226.70688925309,True
2024-07-05,6361,29037.91222453163,False
2024-07-06,4235,19332.73986336865,True
2024-07-07,7782,35524.765434883426,True
2024-07-08,6053,27631.89477992288,False
2024-07-09,7216,32940.98013083175,False
2024-07-10,5611,25614.168447075263,False
2024-07-11,6736,30749.78411325981,False
2024-07-12,10885,49689.93469013494,True
2024-07-13,7220,32959.24009764483,False
2024-07-14,9162,41824.45398539812,False
2024-07-15,9514,43431.33106494969,True
2024-07-16,8580,39167.628814094096,False
2024-07-17,6790,30996.29366523667,False
2024-07-18,6021,27485.81504541808,True
2024-07-19,6838,31215.41326699388,False
2024-07-20,6497,29658.75109617705,False
2024-07-21,7153,32653.38565352555,False
2024-07-22,8213,37492.27685899345,False
2024-07-23,8188,37378.15206641166,False
2024-07-24,7864,35899.09475455169,False
2024-07-25,3296,15046.21265399328,True
2024-07-26,8064,36812.09309520599,False
2024-07-27,7691,35109.35118988572,False
2024-07-28,8099,36971.8678048205,False
2024-07-29,10013,45709.26192488218,True
2024-07-30,6456,29471.586436342768,False
2024-07-31,9685,44211.94464620912,True
2024-08-01,9452,43148.30157934686,False
2024-08-02,4263,19460.55963106036,True
2024-08-03,5267,24043.81130114861,True
2024-08-04,7787,35547.59039339978,False
2024-08-05,8819,40258.66183117599,False
2024-08-06,8860,40445.82649101012,False
2024-08-07,7485,34168.962899011785,False
2024-08-08,5463,24938.54967499054,True
